LB-9476 : EM6's storage device (USB disk) does not exist (when ON),Local HMI,LB,9476,,16-bit Unsigned,Supported
LB-9477 : EM7's storage device (USB disk) does not exist (when ON),Local HMI,LB,9477,,16-bit Unsigned,Supported
LB-9478 : EM8's storage device (USB disk) does not exist (when ON),Local HMI,LB,9478,,16-bit Unsigned,Supported
LB-9479 : EM9's storage device (USB disk) does not exist (when ON),Local HMI,LB,9479,,16-bit Unsigned,Supported
LB-9480 : EM0's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9480,,16-bit Unsigned,Supported
LB-9481 : EM1's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9481,,16-bit Unsigned,Supported
LB-9482 : EM2's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9482,,16-bit Unsigned,Supported
LB-9483 : EM3's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9483,,16-bit Unsigned,Supported
LB-9484 : EM4's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9484,,16-bit Unsigned,Supported
LB-9485 : EM5's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9485,,16-bit Unsigned,Supported
LB-9486 : EM6's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9486,,16-bit Unsigned,Supported
LB-9487 : EM7's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9487,,16-bit Unsigned,Supported
LB-9488 : EM8's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9488,,16-bit Unsigned,Supported
LB-9489 : EM9's storage device (USB disk 2) does not exist (when ON),Local HMI,LB,9489,,16-bit Unsigned,Supported
"LB-9500 : device 2 status (SN0, COM 2), set on to retry connection",Local HMI,LB,9500,,16-bit Unsigned,Supported
"LB-9501 : device 2 status (SN1, COM 2), set on to retry connection",Local HMI,LB,9501,,16-bit Unsigned,Supported
"LB-9502 : device 2 status (SN2, COM 2), set on to retry connection",Local HMI,LB,9502,,16-bit Unsigned,Supported
"LB-9503 : device 2 status (SN3, COM 2), set on to retry connection",Local HMI,LB,9503,,16-bit Unsigned,Supported
"LB-9504 : device 2 status (SN4, COM 2), set on to retry connection",Local HMI,LB,9504,,16-bit Unsigned,Supported
"LB-9505 : device 2 status (SN5, COM 2), set on to retry connection",Local HMI,LB,9505,,16-bit Unsigned,Supported
"LB-9506 : device 2 status (SN6, COM 2), set on to retry connection",Local HMI,LB,9506,,16-bit Unsigned,Supported
"LB-9507 : device 2 status (SN7, COM 2), set on to retry connection",Local HMI,LB,9507,,16-bit Unsigned,Supported
"LB-9755 : device 2 status (SN255, COM2), set on to retry connection",Local HMI,LB,9755,,16-bit Unsigned,Supported
"LB-9800 : device 3 status (SN0, COM 3), set on to retry connection",Local HMI,LB,9800,,16-bit Unsigned,Supported
"LB-9801 : device 3 status (SN1, COM 3), set on to retry connection",Local HMI,LB,9801,,16-bit Unsigned,Supported
"LB-9802 : device 3 status (SN2, COM 3), set on to retry connection",Local HMI,LB,9802,,16-bit Unsigned,Supported
"LB-9803 : device 3 status (SN3, COM 3), set on to retry connection",Local HMI,LB,9803,,16-bit Unsigned,Supported
"LB-9804 : device 3 status (SN4, COM 3), set on to retry connection",Local HMI,LB,9804,,16-bit Unsigned,Supported
"LB-9805 : device 3 status (SN5, COM 3), set on to retry connection",Local HMI,LB,9805,,16-bit Unsigned,Supported
"LB-9806 : device 3 status (SN6, COM 3), set on to retry connection",Local HMI,LB,9806,,16-bit Unsigned,Supported
"LB-9807 : device 3 status (SN7, COM 3), set on to retry connection",Local HMI,LB,9807,,16-bit Unsigned,Supported
"LB-10055 : device 3 status (SN255, COM3), set on to retry connection",Local HMI,LB,10055,,16-bit Unsigned,Supported
LB-10069 : forced to reconnect remote printer/backup server when IP changed on-line (set ON),Local HMI,LB,10069,,16-bit Unsigned,Unsupported
LB-10070 : forced to reconnect device 4 (ethernet) when IP or system parameters changed on-line (set ON),Local HMI,LB,10070,,16-bit Unsigned,Supported
LB-10071 : forced to reconnect device 5 (ethernet) when IP or system parameters changed on-line (set ON),Local HMI,LB,10071,,16-bit Unsigned,Supported
LB-10072 : forced to reconnect device 6 (ethernet) when IP or system parameters changed on-line (set ON),Local HMI,LB,10072,,16-bit Unsigned,Supported
LB-10073 : forced to reconnect device 7 (ethernet) when IP or system parameters changed on-line (set ON),Local HMI,LB,10073,,16-bit Unsigned,Supported
LB-10074 : forced to reconnect device 8 (ethernet) when IP or system parameters changed on-line (set ON),Local HMI,LB,10074,,16-bit Unsigned,Supported
LB-10075 : forced to reconnect device 9 (ethernet) when IP or system parameters changed on-line (set ON),Local HMI,LB,10075,,16-bit Unsigned,Supported
LB-10099 : forced to reconnect device 33 (ethernet) when IP or system parameters changed on-line (set ON),Local HMI,LB,10099,,16-bit Unsigned,Supported
"LB-10100 : device 4 status (ethernet), set on to retry connection",Local HMI,LB,10100,,16-bit Unsigned,Supported
"LB-10101 : device 4 status (SN0, ethernet), set on to retry connection",Local HMI,LB,10101,,16-bit Unsigned,Supported
"LB-10102 : device 4 status (SN1, ethernet), set on to retry connection",Local HMI,LB,10102,,16-bit Unsigned,Supported
"LB-10103 : device 4 status (SN2, ethernet), set on to retry connection",Local HMI,LB,10103,,16-bit Unsigned,Supported
"LB-10104 : device 4 status (SN3, ethernet), set on to retry connection",Local HMI,LB,10104,,16-bit Unsigned,Supported
"LB-10105 : device 4 status (SN4, ethernet), set on to retry connection",Local HMI,LB,10105,,16-bit Unsigned,Supported
"LB-10106 : device 4 status (SN5, ethernet), set on to retry connection",Local HMI,LB,10106,,16-bit Unsigned,Supported
"LB-10107 : device 4 status (SN6, ethernet), set on to retry connection",Local HMI,LB,10107,,16-bit Unsigned,Supported
"LB-10108 : device 4 status (SN7, ethernet), set on to retry connection",Local HMI,LB,10108,,16-bit Unsigned,Supported
"LB-10356 : device 4 status (SN255, ethernet), set on to retry connection",Local HMI,LB,10356,,16-bit Unsigned,Supported
"LB-10400 : device 5 status (ethernet), set on to retry connection",Local HMI,LB,10400,,16-bit Unsigned,Supported
"LB-10401 : device 5 status (SN0, ethernet), set on to retry connection",Local HMI,LB,10401,,16-bit Unsigned,Supported
"LB-10402 : device 5 status (SN1, ethernet), set on to retry connection",Local HMI,LB,10402,,16-bit Unsigned,Supported
"LB-10403 : device 5 status (SN2, ethernet), set on to retry connection",Local HMI,LB,10403,,16-bit Unsigned,Supported
"LB-10404 : device 5 status (SN3, ethernet), set on to retry connection",Local HMI,LB,10404,,16-bit Unsigned,Supported
"LB-10405 : device 5 status (SN4, ethernet), set on to retry connection",Local HMI,LB,10405,,16-bit Unsigned,Supported
"LB-10406 : device 5 status (SN5, ethernet), set on to retry connection",Local HMI,LB,10406,,16-bit Unsigned,Supported
"LB-10407 : device 5 status (SN6, ethernet), set on to retry connection",Local HMI,LB,10407,,16-bit Unsigned,Supported
"LB-10408 : device 5 status (SN7, ethernet), set on to retry connection",Local HMI,LB,10408,,16-bit Unsigned,Supported
"LB-10656 : device 5 status (SN255, ethernet), set on to retry connection",Local HMI,LB,10656,,16-bit Unsigned,Supported
"LB-10700 : device 6 status (ethernet), set on to retry connection",Local HMI,LB,10700,,16-bit Unsigned,Supported
"LB-10701 : device 6 status (SN0, ethernet), set on to retry connection",Local HMI,LB,10701,,16-bit Unsigned,Supported
"LB-10702 : device 6 status (SN1, ethernet), set on to retry connection",Local HMI,LB,10702,,16-bit Unsigned,Supported
"LB-10703 : device 6 status (SN2, ethernet), set on to retry connection",Local HMI,LB,10703,,16-bit Unsigned,Supported
"LB-10704 : device 6 status (SN3, ethernet), set on to retry connection",Local HMI,LB,10704,,16-bit Unsigned,Supported
"LB-10705 : device 6 status (SN4, ethernet), set on to retry connection",Local HMI,LB,10705,,16-bit Unsigned,Supported
"LB-10706 : device 6 status (SN5, ethernet), set on to retry connection",Local HMI,LB,10706,,16-bit Unsigned,Supported
"LB-10707 : device 6 status (SN6, ethernet), set on to retry connection",Local HMI,LB,10707,,16-bit Unsigned,Supported
"LB-10708 : device 6 status (SN7, ethernet), set on to retry connection",Local HMI,LB,10708,,16-bit Unsigned,Supported
"LB-10956 : device 6 status (SN255, ethernet), set on to retry connection",Local HMI,LB,10956,,16-bit Unsigned,Supported
"LB-11000 : device 7 status (ethernet), set on to retry connection",Local HMI,LB,11000,,16-bit Unsigned,Supported
"LB-11001 : device 7 status (SN0, ethernet), set on to retry connection",Local HMI,LB,11001,,16-bit Unsigned,Supported
"LB-11002 : device 7 status (SN1, ethernet), set on to retry connection",Local HMI,LB,11002,,16-bit Unsigned,Supported
"LB-11003 : device 7 status (SN2, ethernet), set on to retry connection",Local HMI,LB,11003,,16-bit Unsigned,Supported
"LB-11004 : device 7 status (SN3, ethernet), set on to retry connection",Local HMI,LB,11004,,16-bit Unsigned,Supported
"LB-11005 : device 7 status (SN4, ethernet), set on to retry connection",Local HMI,LB,11005,,16-bit Unsigned,Supported
"LB-11006 : device 7 status (SN5, ethernet), set on to retry connection",Local HMI,LB,11006,,16-bit Unsigned,Supported
"LB-11007 : device 7 status (SN6, ethernet), set on to retry connection",Local HMI,LB,11007,,16-bit Unsigned,Supported
"LB-11008 : device 7 status (SN7, ethernet), set on to retry connection",Local HMI,LB,11008,,16-bit Unsigned,Supported
"LB-11256 : device 7 status (SN255, ethernet), set on to retry connection",Local HMI,LB,11256,,16-bit Unsigned,Supported
"LB-11300 : device 8 status (ethernet), set on to retry connection",Local HMI,LB,11300,,16-bit Unsigned,Supported
"LB-11301 : device 8 status (SN0, ethernet), set on to retry connection",Local HMI,LB,11301,,16-bit Unsigned,Supported
"LB-11302 : device 8 status (SN1, ethernet), set on to retry connection",Local HMI,LB,11302,,16-bit Unsigned,Supported
"LB-11303 : device 8 status (SN2, ethernet), set on to retry connection",Local HMI,LB,11303,,16-bit Unsigned,Supported
"LB-11304 : device 8 status (SN3, ethernet), set on to retry connection",Local HMI,LB,11304,,16-bit Unsigned,Supported
"LB-11305 : device 8 status (SN4, ethernet), set on to retry connection",Local HMI,LB,11305,,16-bit Unsigned,Supported
"LB-11306 : device 8 status (SN5, ethernet), set on to retry connection",Local HMI,LB,11306,,16-bit Unsigned,Supported
"LB-11307 : device 8 status (SN6, ethernet), set on to retry connection",Local HMI,LB,11307,,16-bit Unsigned,Supported
"LB-11308 : device 8 status (SN7, ethernet), set on to retry connection",Local HMI,LB,11308,,16-bit Unsigned,Supported
